ProductKey,OrderDate,OrderDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight
528,8/9/2020,20200809,15443,8,SO52308,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,8/15/2020,20200815,16568,8,SO52600,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,8/16/2020,20200816,16057,8,SO52639,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,8/16/2020,20200816,17637,8,SO52645,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,8/21/2020,20200821,14703,8,SO52905,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,8/22/2020,20200822,16039,8,SO52942,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,8/24/2020,20200824,13698,8,SO53036,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,8/25/2020,20200825,13696,8,SO53104,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,8/27/2020,20200827,15708,8,SO53216,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,8/30/2020,20200830,20591,8,SO53382,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,9/6/2020,20200906,16413,8,SO53901,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,9/9/2020,20200909,18170,8,SO54066,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,9/17/2020,20200917,12471,8,SO54500,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,9/18/2020,20200918,16044,8,SO54560,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,9/19/2020,20200919,16059,8,SO54628,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,9/27/2020,20200927,18169,8,SO55062,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,9/28/2020,20200928,17083,8,SO55118,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/3/2020,20201003,17746,8,SO55482,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/10/2020,20201010,17852,8,SO55898,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/11/2020,20201011,18182,8,SO55944,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/14/2020,20201014,14696,8,SO56090,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/15/2020,20201015,16055,8,SO56159,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/18/2020,20201018,16048,8,SO56299,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/26/2020,20201026,16299,8,SO56726,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,11/7/2020,20201107,15091,8,SO57558,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,11/11/2020,20201111,18180,8,SO57768,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,11/28/2020,20201128,18154,8,SO58743,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/10/2020,20201210,17089,8,SO59739,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/12/2020,20201212,17745,8,SO59859,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/13/2020,20201213,15636,8,SO59940,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/13/2020,20201213,21519,8,SO59943,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/14/2020,20201214,16284,8,SO60010,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/14/2020,20201214,17791,8,SO60011,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/15/2020,20201215,16037,8,SO60076,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/18/2020,20201218,17802,8,SO60280,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/19/2020,20201219,20916,8,SO60353,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/29/2020,20201229,19449,8,SO60996,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/31/2020,20201231,15459,8,SO61134,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,12/31/2020,20201231,12498,8,SO61137,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,1/2/2021,20210102,12497,8,SO61342,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,1/6/2021,20210106,16049,8,SO61563,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,1/6/2021,20210106,15680,8,SO61564,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,1/8/2021,20210108,14537,8,SO61694,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,1/24/2021,20210124,15090,8,SO62654,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
